Nome do Serviço,Valor do serviço,Gerenciar,tipo
Acesso IV,"R$ 60,00",,clinica
ALT (dosagem),"R$ 30,00",,clinica
Aplicação 2mL - Penicilina,"R$ 60,00",,clinica
Aplicação ácido Transanexâmico 1 amp.,"R$ 55,00",,clinica
Aplicação Advocate de 4 kg a 8 kg,"R$ 69,00",,clinica
Aplicação Cerenia 1 ml,"R$ 85,00",,clinica
Aplicação de Advocate até 4 kg.,"R$ 65,00",,clinica
Aplicação de Capstar 11 mg,"R$ 22,10",,clinica
Aplicação de Capstar 57 mg,"R$ 26,10",,clinica
Aplicação de Cipionato de Estradiol,"R$ 80,00",,clinica
Aplicação de Diazepan,"R$ 40,00",,clinica
Aplicação de Dipirona 1 ml,"R$ 30,00",,clinica
Aplicação de Imidocorb,"R$ 55,00",,clinica
Aplicação de medicamento em soro,"R$ 70,00",,clinica
"Aplicação de Nexgard 10,1 à 25kg","R$ 140,00",,clinica
"Aplicação de Nexgard 4,1 à 10kg","R$ 120,00",,clinica
Aplicação de Sulfa + Trimetropina 1 ml,"R$ 30,00",,clinica
Aplicação de Top dog 10kg,"R$ 60,00",,clinica
APLICAÇÃO DEFENZA,"R$ 80,00",,clinica
aplicação Dexametasona 1 ml,"R$ 30,00",,clinica
Aplicação Doxifin 200 mg,"R$ 78,00",,clinica
Aplicação Eritropoetina 2000 UI,"R$ 65,00",,clinica
Aplicação Meloxican 1 ml,"R$ 30,00",,clinica
Aplicação Soroglobulin até 10 ml,"R$ 115,00",,clinica
Aplicação Soroglobulin até 3 ml,"R$ 50,00",,clinica
Atestado de viagem,"R$ 80,00",,clinica
Biopsia,"R$ 200,00",,clinica
Cálcio,"R$ 60,00",,clinica
Castração Cão Macho,"R$ 350,00",,clinica
Castração Gato Macho,"R$ 200,00",,clinica
Cesariana de Gata,"R$ 520,00",,clinica
Cesariana Maltês,"R$ 880,00",,clinica
Cesariana Spitz Alemão Até 5 KG,"R$ 1.000,00",,clinica
Cirurgia,"R$ 1.000,00",,clinica
Cirúrgia - Retirada de Nódulo,"R$ 550,00",,clinica
Cirurgia Social,"R$ 350,00",,clinica
Cistolitotomia em Felino,"R$ 450,00",,clinica
Citologia de Cisto Dérmico,"R$ 120,00",,clinica
Citologia de Líquido Cavitário,"R$ 140,00",,clinica
Citologia de Nódulo/Oncológica,"R$ 150,00",,clinica
Citologia de Pele/Auricular,"R$ 80,00",,clinica
Coagulograma,"R$ 100,00",,clinica
Colar Elizabetano 1,"R$ 25,00",,clinica
Colar Elizabetano 2,"R$ 28,00",,clinica
Colar Elizabetano 3,"R$ 30,00",,clinica
Colar Elizabetano 6,"R$ 35,00",,clinica
Colar Elizabetano 8,"R$ 32,00",,clinica
Consulta em domicílio,"R$ 110,00",,clinica
Consulta Especializada em Animais Silvestres e Exóticos,"R$ 160,00",,clinica
Consulta Especializada em Dermatologia,"R$ 120,00",,clinica
Consulta Especializada em Oftalmologia,"R$ 180,00",,clinica
Consulta Plantão,"R$ 100,00",,clinica
Consulta Veterinária - Clínica Geral em horário normal,"R$ 80,00",,clinica
Correção de Hérnia Perineal Até 15 KG,"R$ 1.000,00",,clinica
Correção de Otohematoma,"R$ 500,00",,clinica
Corte de unha,"R$ 15,00",,clinica
Creatinina (Dosagem),"R$ 30,00",,clinica
Cultura de aeróbio + anaeróbio + antibiograma,"R$ 280,00",,clinica
Cultura Fúngica + Antifungiograma,"R$ 210,00",,clinica
Cultura para dermatófitos,"R$ 70,00",,clinica
Curativo,"R$ 25,00",,clinica
Curativo Pós Operatório,"R$ 35,00",,clinica
Diária Cão só com Medicações,"R$ 220,00",,clinica
Diária de Internamento (Fluidoterapia + Vitaminas + Medicações),"R$ 350,00",,clinica
Diária de Internamento (Fluidoterapia + Vitaminas + Medicações) cão de 35 kg +,"R$ 460,00",,clinica
Diária Internação Gatos,"R$ 325,00",,clinica
Diária social gato sem fluido terapia,"R$ 110,00",,clinica
Dosagem T3,"R$ 140,00",,clinica
Dosagem T4,"R$ 140,00",,clinica
Dosagem TSH,"R$ 140,00",,clinica
Doxifin Tabs 100 mg,"R$ 65,00",,clinica
Enema,"R$ 75,00",,clinica
Enucleação de Globo ocular Gato até 3 kg,"R$ 290,00",,clinica
Eutanásia até 15 kg,"R$ 290,00",,clinica
Eutanásia de 30 kg +,"R$ 400,00",,clinica
Exame Tricograma veterinário,"R$ 13,00",,clinica
Exames de Brucelose e Tuverculose Bovina,"R$ 90,00",,clinica
Fita de Glicose,"R$ 8,00",,clinica
Fluidoterapia sem internamento,"R$ 110,00",,clinica
Fosfatase Alcalina (Dosagen),"R$ 30,00",,clinica
Fósforo,"R$ 60,00",,clinica
Glicose,"R$ 30,00",,clinica
Hemograma Completo,"R$ 60,00",,clinica
Hérnia Diafragmática Felino,"R$ 2.500,00",,clinica
Histopatológico,"R$ 250,00",,clinica
Histopatológico um fragmento,"R$ 200,00",,clinica
Kallwork,"R$ 24,00",,clinica
Mastectomia gata,"R$ 600,00",,clinica
Mercepton,"R$ 40,00",,clinica
Metoclopramida,"R$ 30,00",,clinica
Metronidazol,"R$ 65,00",,clinica
Necropsia Canina,"R$ 500,00",,clinica
Necropsia Felina,"R$ 400,00",,clinica
Orquiectomia Gato,"R$ 180,00",,clinica
Ovário-histerectomia Gata (eletiva),"R$ 280,00",,clinica
Ovário-histerectomia Social,"R$ 200,00",,clinica
Pacote Vacina 1 (3 V8 + Antirrábica),"R$ 260,00",,clinica
Pacote Vacina 2 (3 V8 + Antirrábica + Bronquite),"R$ 360,00",,clinica
Pacote Vacina 3 ( 1 V8 + Antirrábica + Bronquite),"R$ 220,00",,clinica
Pacote Vacina 4 (1 V8 + Antirrábica),"R$ 115,00",,clinica
Pacote Vacina 5 (Antirrábica + Bronquite),"R$ 145,00",,clinica
Pacote Vacina 6 (3 V8 + 1 Kc),"R$ 320,00",,clinica
Pacote Vacina 7 (V8 + KC),"R$ 170,00",,clinica
Pacote Vacina Felina (1V5 + 1 AR),"R$ 145,00",,clinica
Pacote vacina Felina (3 V5 + 1 AR),"R$ 340,00",,clinica
Parasitológico de Fezes,"R$ 50,00",,clinica
Parasitológico de Fezes para veterinário,"R$ 14,00",,clinica
Parasitológico de Fezes seriado,"R$ 100,00",,clinica
Penograma,"R$ 60,00",,clinica
"Perfil clínico 2 (Hemograma, PPT, Pesq de hematozoário, ALT, FAL, AST, Albumina, Ureia, Creatinina)","R$ 190,00",,clinica
Perfil dermatológico 3 (citol. de pele + citol. auricular + raspado),"R$ 190,00",,clinica
Perfil Dermatológico Simples 1 (Citologia Auricular e Raspado cutâneo),"R$ 100,00",,clinica
"Perfil Minerais (P, CA, I, K)","R$ 130,00",,clinica
